Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
5.0-0029,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,onnxruntime v1.20.1,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,228.140375,228.140375
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,retinanet,Offline,Samples/s,Closed ,retinanet,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,retinanet,edge,869.415,869.415
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,3d-unet-99,SingleStream,Latency (ms),Closed ,3d-unet-99,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,3d-unet-99,edge,432.996963,432.996963
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,bert-99,SingleStream,Latency (ms),Closed ,bert-99,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,bert-99,edge,1.030422,1.030422
5.0-0025,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,onnxruntime,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,704.255201,704.255201
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,3d-unet-99,Offline,Samples/s,Closed ,3d-unet-99,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,3d-unet-99,edge,3.11051,3.11051
5.0-0027,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,tf v2.18.0,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,517.255836,517.255836
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,bert-99,SingleStream,Latency (ms),Closed ,bert-99,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,bert-99,edge,2.16583,2.16583
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,resnet,Offline,Samples/s,Closed ,resnet50,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,resnet50,edge,87921.1,87921.1
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,3d-unet-99,SingleStream,Latency (ms),Closed ,3d-unet-99,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,3d-unet-99,edge,1835.333981,1835.333981
5.0-0027,GATEOverflow,available,Samsung Book2 Pro 360,N/A,0,Inference,resnet,Offline,Samples/s,Closed ,resnet50,Ubuntu 22.04 (linux-5.15.167.4-microsoft-standard-WSL2-glibc2.35),12th Gen Intel(R) Core(TM) i5-1240P,tf v2.18.0,Edge,v5.0,1,closed,Closed,False,8,resnet50,edge,23.162,23.162
5.0-0024,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,pointpainting,SingleStream,Latency (ms),Closed ,pointpainting,Ubuntu 22.04 (linux-6.8.0-52-generic-glibc2.35),Intel(R) Xeon(R) w7-2495X,pytorch v2.2.2,Edge,v5.0,1,closed,Closed,False,24,pointpainting,edge,729.221027,729.221027
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,3d-unet-99,Offline,Samples/s,Closed ,3d-unet-99,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,3d-unet-99,edge,4.17121,4.17121
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,3d-unet-99.9,SingleStream,Latency (ms),Closed ,3d-unet-99.9,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,3d-unet-99.9,edge,432.996963,432.996963
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,resnet,Offline,Samples/s,Closed ,resnet50,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,resnet50,edge,44411.1,44411.1
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,resnet,Offline,Samples/s,Closed ,resnet50,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,resnet50,edge,38566.1,38566.1
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,3d-unet-99.9,Offline,Samples/s,Closed ,3d-unet-99.9,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,3d-unet-99.9,edge,3.11051,3.11051
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,3d-unet-99.9,SingleStream,Latency (ms),Closed ,3d-unet-99.9,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,3d-unet-99.9,edge,1835.333981,1835.333981
5.0-0030,GATEOverflow,available,Apple MacBook Pro M1,N/A,0,Inference,resnet,MultiStream,Latency (ms),Closed ,resnet50,macOS Sequoia 15.3.1 (darwin-24.3.0),Apple M1 Pro,tf v2.18.0,Edge,v5.0,1,closed,Closed,False,10,resnet50,edge,175.426667,175.426667
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,bert-99.9,SingleStream,Latency (ms),Closed ,bert-99.9,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,bert-99.9,edge,2.16583,2.16583
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,retinanet,SingleStream,Latency (ms),Closed ,retinanet,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,retinanet,edge,4.202214,4.202214
5.0-0044,HPE,available,HPE ProLiant DL145 Gen11 (3x L4-PCIe-24GB TensorRT),NVIDIA L4-PCIe-24GB,3,Inference,retinanet,MultiStream,Latency (ms),Closed ,retinanet,Ubuntu 24.04.1 LTS,AMD EPYC 8324P 32-Core Processor,TensorRT 10.8 CUDA 12.8,Edge,v5.0,1,closed,Closed,False,48,retinanet,edge,32.031488,32.031488
5.0-0032,GATEOverflow,available,GATE Overflow Intel Sapphire Rapids (2x RTX 4090),NVIDIA GeForce RTX 4090,2,Inference,bert-99.9,Offline,Samples/s,Closed ,bert-99.9,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),Intel(R) Xeon(R) w7-2495X,TensorRT,Edge,v5.0,1,closed,Closed,False,24,bert-99.9,edge,3339.71,3339.71
5.0-0031,GATEOverflow,available,PCSPECIALIST AMD AM5 PC (1x RTX 4090),NVIDIA GeForce RTX 4090,1,Inference,retinanet,MultiStream,Latency (ms),Closed ,retinanet,Ubuntu 20.04 (linux-6.8.0-52-generic-glibc2.31),AMD Ryzen 9 7950X 16-Core Processor,TensorRT,Edge,v5.0,1,closed,Closed,False,16,retinanet,edge,11.579734,11.579734
