Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
1.1-354,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,197.689,197.689
1.1-399,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,197.22,197.22
1.1-366,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,latency (ms),Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,14.007817,14.007817
1.1-378,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,System energy (J) per stream*,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,0.044879602,0.044879602
1.1-348,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,System Watts,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,20.11653,20.11653
1.1-409,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,latency (ms),Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,22.841394,22.841394
1.1-389,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,233.771,233.771
1.1-352,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,System Watts,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,20.39778167,20.39778167
1.1-358,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,111.703,111.703
1.1-411,Krai,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Offline,samples/s,Open - Power,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.5.0 (ruy),Edge,v1.1,1,open,Open,True,,ResNet,edge,41.7721,41.7721
